Date,HomeTeam,AwayTeam,HomeElo,AwayElo,HomeRank,AwayRank,HomePlayerRatingCount,HomePlayerRatingMean,HomePlayerRatingStd,AwayPlayerRatingCount,AwayPlayerRatingMean,AwayPlayerRatingStd,TeamEloWinProb,PlayerEloDrawProb,PlayerEloWinProb,HomeEloMomentum,AwayEloMomentum,HomeRankMomentum,AwayRankMomentum
2010-01-05,Stoke,Fulham,1621.51330566,1739.9309082,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358894550686903,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-09,Arsenal,Everton,1877.29003906,1703.89489746,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7306932488318816,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-09,Birmingham,Man United,1653.17480469,1927.59594727,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1708386704269915,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-11,Man City,Blackburn,1745.52185059,1642.06665039,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6446343516034788,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-16,Chelsea,Sunderland,1945.43017578,1606.01269531,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8758651946920342,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-16,Everton,Man City,1708.42211914,1745.52185059,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4468111995652619,0.33,0.33,-4.527221679999911,0.0,0.0,0.0
2010-01-16,Man United,Burnley,1930.65332031,1563.06213379,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8924509916952449,0.33,0.33,-3.0573730400001295,0.0,0.0,0.0
2010-01-16,Stoke,Liverpool,1621.51330566,1838.18322754,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2231761359359399,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-16,Tottenham,Hull,1767.24902344,1549.60253906,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777969464183655,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-16,Wolves,Wigan,1575.59875488,1623.31848145,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4317543960670599,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-17,Aston Villa,West Ham,1748.50256348,1654.99597168,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6314092348502461,0.33,0.33,0.0,0.0,0.0,0.0
2010-01-17,Blackburn,Fulham,1635.38110352,1728.29064941,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3693909946628279,0.33,0.33,6.685546870000053,11.640258789999962,0.0,0.0
2010-01-17,Bolton,Arsenal,1620.46911621,1883.65319824,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1801975924762447,0.33,0.33,0.0,-6.363159179999911,0.0,0.0
2010-01-20,Arsenal,Bolton,1877.44750977,1620.46911621,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8144647934461848,0.33,0.33,-0.15747070999987045,0.0,0.0,0.0
2010-01-20,Liverpool,Tottenham,1846.09350586,1760.42053223,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6208536905593305,0.33,0.33,-7.910278320000089,6.828491210000038,0.0,0.0
2010-01-23,Man United,Hull,1925.44799805,1553.7590332,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894694217775552,0.33,0.33,2.147949219999873,-4.15649413999995,0.0,0.0
2010-01-26,Bolton,Burnley,1612.9699707,1558.53491211,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5777035728948764,0.33,0.33,7.499145510000062,4.527221679999911,-2.0,-1.0
2010-01-26,Portsmouth,West Ham,1613.65637207,1659.52636719,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4343686563771439,0.33,0.33,0.0,-4.530395510000062,0.0,1.0
2010-01-26,Tottenham,Fulham,1754.21618652,1716.13586426,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5545835923494613,0.33,0.33,13.032836919999909,23.795043939999914,0.0,-1.0
2010-01-26,Wolves,Liverpool,1565.48547363,1842.29553223,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1688995107224045,0.33,0.33,10.11328125,-4.112304689999974,0.0,0.0
2010-01-27,Aston Villa,Arsenal,1743.97229004,1882.66186523,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103761465830263,0.33,0.33,4.530273439999974,-5.371826170000077,1.0,0.0
2010-01-27,Blackburn,Wigan,1647.53588867,1632.60107422,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52147969738605,0.33,0.33,-5.469238280000127,-9.282592770000065,1.0,-1.0
2010-01-27,Chelsea,Birmingham,1947.82666016,1658.38012695,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8410669448427867,0.33,0.33,-2.3964843800001745,-5.205322260000003,0.0,0.0
2010-01-27,Everton,Sunderland,1724.51342773,1609.25097656,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6600470746684619,0.33,0.33,-20.618530270000065,-3.23828125,1.0,1.0
2010-01-30,Birmingham,Tottenham,1658.38012695,1754.21618652,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3654754880959095,0.33,0.33,-5.205322260000003,13.032836919999909,0.0,0.0
2010-01-30,Burnley,Chelsea,1556.93762207,1950.33032227,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941017441439372,0.33,0.33,6.124511719999873,-4.900146489999997,0.0,0.0
2010-01-30,Fulham,Aston Villa,1716.13586426,1743.97229004,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460025660438817,0.33,0.33,23.795043939999914,4.530273439999974,-1.0,1.0
2010-01-30,Hull,Wolves,1560.58752441,1553.14550781,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107082851645249,0.33,0.33,-10.984985349999988,22.45324706999986,2.0,-2.0
